username,full_text
yacultsesat,yang salah guru honorer sekolah swasta gaji 1 2 hari kurang semua nya sudah serba naik
itslalabell,kakaku honorer semenjak lulus sarjana gaji guru kata cuma isi bensin
AKN_46,padahal sn lumayan gaji tunjang liat doang guru honorer lama 18 dan baru ketrima asn pas mau masuk kuliah lama 18 apa iya dapat hikmah tertawa terima tidak gampang bolak balik ikut cpns kalah sama yang fres grad mau
cakraiki,msiih bnyak guru honorer mbak jujur guru honorer utg an dapat gaji bulan biasa itu sekolah negeri sih dapat triwulan sesuai sekolah lebih tepat
pink_to4,sama sih kaya beli pc terus tambahin lampu rgb biar nambah cepat ram napa ngurusin guru honorer gaji 300 ribu bulan biar dapet gaji layak gitu
haebaragiu,gaji guru honorer 1 jam 20 ribu tugas cerdas anak bangsa
zevratycos,rendah tingkat literasi uang digital masyarakat masalah sejahtera guru jadi faktor utama jerat pinjam online ilegal dasar lapor jaring p2g daerah banyak guru honorer terima gaji bawah standar bahkan
litcookiedough,gabisa banget ngeliat ginian allah anak orang guru honorer tau banget struggle nya tua aku nyari kerja samping karna gaji cukup hari karna personil rumah banyak
keyznlh,sana guru honorer gaji bawah umk california
veautifull__,sakit hati paling akut ketika dianggep beban sama sendiri kenya anak gaji gede punya hasil banyak kerja beliau ngatur spd guru oke turutin jadi guru honorer gaji dikit banget malah bilang bensin bpjs sing bayar
ddiminssi,nilai mana guru honorer gaji cuma 350 ribu bulan
kamakiho,mungkin andai balik gaji kpu guru honorer seperti lebih adil
dnxkalzxl,fakta gaji guru honorer mostly memang dikit apa ngajar sekolah negeri banting banget liat banyak guru yang angkat pns nyekolahin sertifikasi beli mobil rumah lain
hirahoon,sender nih gimana sih tertawa fakta situ ngomong juga riset tidak semua guru dapat gaji tiap bulan apa honorer gaji 400 3 bulanmana tunjang fakta lapang apa di timur banyak banget guru yang tidak dapet gaji
17shingibanggi,jelang milu 2029 gaji naik guru honorer angkat 1 juta tahun
urmatchatalk,bom dana bos tilep oknum makin dikit dah gaji guru honorer
Over_Think_85,pajak kaoo bayar buzzer mending urus tuh gaji guru honorer
ChewbaccaSmom,berita kata memang guru paling banyak libat pinjol guru honorer tau aja gaji guru honorer berapa asli sedih guru ingin lanjut didik salah syarat naik pangkat guru tetap jadi pinjol guna biaya didik
wahyudithog,lihat komen ig guru honorer ngeluh gaji cuma 700 ribu yang reply pokok nyesuain gaya hidup kamu
sextratime,guru honorer sopir mertua guru pns habis nganter mertua sekolah lanjut sekolah naik mobil kira murid wih naik mobil padahal gaji honorer cukup beli bensin mobil bulan
zevratycos,lebih malu jabat nentuin bijak gaji guru honorer
Pret2310,banyak gaji guru memang segitu mau asn tidak gampang lulus kuliah mesti ambil ppg dulu honorer dulu ikut p3k tidak jamin terima mau gede mah ngajar sekolah swasta international sekolah punya sendiri spd ogah guru
Mambinie12,sehat guru honorer luar suka sedih dengar rekan2 sama guru harga padahal guru orang akan bentuk pimpin bangsa lanjut guru minta kasih gaji puluh juta tidak harga guru manusia
royalsq3kpau,di indonesia dipake guru pahlawan tanda jasa gaji guru honorer masih rendah dari dulu suruh ikhlas dengan alas abdi kata guru perlu makan
yogaaryow,gar bawah guru mana sudah serdik iya lumayan tunjang guru golong jabat tinggi iya gede gaji pokok guru swasta yayasan nya bagus tuntut kerja nya bagus kalau guru honorer gaji sampai
