username,full_text
inmydnaaaa,coba sekarang pns guru p3k kontrak 5 dengan gaji 3-4 juta bulan bom potong bulan berapa buat apa sisa dikit apa honorer mentok gede 600-700 kasih baik mau ngajuin tidak gimana 100-300 300-500
Mbull28748201,banyak tidak mau guru diakivatkan beda gaji sangat tajam guru pns honorer
RossyBmba46,harus kuliah terus dosen ganti cuman segitu yang dosen honorer guru kuliah cuman sekali paling banter 2 kali mau kelapa sekolah memang banyak guru honorer gaji cuman segitu bahkan lebih rendah apa yang tua
twooneputry,nder jangan 800 200 itu rata guru honorer guru yang pns sering nunggak gaji masih kalah sama gaji kakak yang guru swasta
Fikfinicky990,guru gaji rendah honorer swasta yayasan kecil pns swasta yayasan gede gaji gede
wooseokyeochin,padahal sn lumayan gaji tunjang liat doang guru honorer lama 18 dan baru ketrima asn pas mau masuk kuliah lama 18 apa iya dapat hikmah tertawa terima tidak gampang bolak balik ikut cpns kalah sama yang fres grad mau
wooeongie,semua sekolah pake guru tetap banyak honorer sender tau gaji guru tetap yang gimana sekolah kalau guru honorer mah tetap segitu
reeeiiinaaaaa,gaji guru honorer daerah 1 juta bulan padahal abdi puluh 
nutrisaripandan,semua guru asn semua guru gaji pokok layak dapat tunjang banyak guru gaji bawah 500 ribu bulan sebut guru honorer
fitafibriani,gaji guru honorer tidak berapa sender banyak nyambi buka les rumah anak les rumah lihat jajan jual ponakan anak bu guru halaman jajan deh mother beli tupperware sama bu guru
a_wintersoltice,punya rumah mobil banyak nyicil hasil hutang jamin sk pns bank guru sejahtera kalau pns sertifikasi ada gaji pokok tunjang berapa status pns sertifikasi banding punya status pegawai biasa bahkan honorer
hanandaurf,sk asn di lapang banyak guru bukan asn alias honorer dapet gaji 1 juta bulan uyuh malah lebih banyak di bawah apa tunjang tertawa
sedangmumet_,fakta banyak banget guru masih honorer sudah sepuh tetap dapet gaji bawah umr padahal guru jadi salah kerja sangat puji coba ada guru apa dunia tapi malah pandang rendah
ANorman149750,memang rendah dulu sempat honorer ajar bahasa inggris smp 2012 jam 8 ribu alhamdulillah bulan 200 ribu lebih banyak gaji saya dari ajar primagama bulan 18 2 juta sering gantiin guru hadir
bukan4non,sd-sma gratis kasih guru honorer kualitas rendah mau pinter mana murid jokowi lantik dpr selalu tuju anggar didik 20 malah mau ngabisin apbn gaji menteri deret staf khusus guna rakyat oke gas oke gas
shandrav_,sender asn mobil innova reborn anak kuliah top ten doi bapak juragan tebu terus terus terus tidak gitu punya sawah puluh tempat orang mandang gaji guru rendah aku guru honorer seko kabupaten gaji 200 ribu
cosmichailey,punya sepupu guru sd cerita dulu gaji cuma 200 300 ribu bulan dia cuma honorer alhamdulillah sekarang dapet gaji 800 ribu bulan mungkin sepupu sudah lama ngajarnya sd
Andinaja8,sender nyobain ngelamar guru coba guru paud dulu buar tau gaji honorer berapa sekolah swasta lebih banyak honorer
sibuzyii,guru honorer aku tau gaji pokok bawah umr padahal guru sma negri jakarta
6uckerforpain,emang iya apa guru honorer kaya mama tuh gaji berapa juga bantu gaji sertifikasi
Jungwoo16794723,memang banyak gaji rendah sender guru honorer guru status asn p3k mah beda tetap gaji guru indonesia rendah
cinnamuorolls,memang gaji rendah kocak apa guru honorer guru punya rumah punya mobil tau apa banyak kredit gadai sk gaji asli guru hidup hari saja empot empot
boombolonee,gaji guru honorer 700 800 bulan sekarang dulu paling tinggi 300 itu bayar dana bos cair arti dapet gaji 6 bulan kalau kalkulasi lama 6 bulan cuma dapet 4 5 juta bukan rendah tapi rendah banget
weonjonwooo,memang iya fakta gaji guru kecil lihat teman yang honorer tuh kata cukup loh dan memang yang ngajar 2 3 sekolah sih cuma tetap diitung jam tapi tetap kecil sih
RakaiXavier,memang rendah sender mamah guru bisa punya rumah sama mobil karena punya suami ayah gaji lumayan tanah waris tinggal bangun rumah sekarang mamah kepala sekolah suka kasi ama guru utama honorer gaji 800 bayar 3 bulan sekali
nurika169,siapa sender ayo ngobrol deh sekali kasih lihat slip gaji guru honorer
siomayjoget,memang fakta anjir punya tua jaman guru honorer sampe angkat pns asn di umur 50 enggak mending diem pernah ngerasain gaji bulan 300 ribu kan tidak pernah lihat tua lantang luntung nyari kerja sampe gerd kan
fusahima,memang iya semua jadi guru dapet gaji minimal umrtunjangan apa honorer bahkan guru honorer yang cuma 150 ribu bulan itu guru yang tajir tuh biasa punya usaha jual contoh buka les
lilylylilac,usah denial memang gaji guru rendah apa honorer keluarga isi mayoritas guru bukan pns kerja sekolah swasta bagus jangan harap tahan hidup coba cek punya mobil kerja samping apa inti jangan denial mikir guru sejahtera
ladyschon,gaji guru honorer kan emang kecil dah kecil sering telat kalau pns mah beda
wtermelonsgar_,fakta memang gaji guru tuh rendah kan semua guru rejeki asn pernah ngobrol sama guru honorer sudah ngabdi 15 gaji cuma 1 5 juta padahal umr kota ku 2 juta
Hamdiirawan17,kira semua gaji guru gede bos honorer tuh contoh ponakan jadi guru honorer gaji 600 ribu bulan apa huh beli bbm bayar listrik air makan duit 600 ribu kira gede huh otak ku kalau asn kaya pns iya honorer sapa sender pinter
aruoian,memang fakta sender mama guru honorer gaji bulan paling banyak 1 juta
afinyulia,memang nyata gaji guru honorer kecil dari umr kalaupun guru tetap satu sekolah swasta apa biasa hitung sendiri yang sudah asn memang gaji lumayan kerja tidak mudah bayang
irkhamdwi10,rendah gaji guru honorer guru sudah angkat asn mah banyak bulan lah 5 juta masuk lagi tunjang itu
MKyoStarlight,itu guru honorer memang guru iya sudah status asn gaji tunjang dapet honorer gimana puluh jadi honorer masih dan gaji masih ada rapel jelas nominal bawah umr bahkan plis sender jangan tutup mata
Berryruby5,sekali turun langsung dah lokasi jangan sapa doang baca artikel demo honorer buka formasi p3k berapa ribu jumlah honorer kira asn gampang guru honorer 15 di gaji layak begini gampang kamu bilang cuma stigma bikin emosi kamu
JKT48asa,bukan emang iya dulu janjiin naik gaji guru honorer mana tuh laksana liat
thilunatic,kan memang fakta apa honorer aduh padahal kemarin sempat biar didik gaji guru lebih perhati eh malah pilih yang lain
honeyijams,karena emang fakta apa guru tempat daerah 3t lagi guru honorer bisa gaji cuma 300 ribu doang
urbbyruto,kan memang fakta rendah apa guru honorer jaman majapahit tidak ubah salahin perintah jangan nyalahin yang mandang rendah gaji guru
mensobarna,fakta sender mandang gaji guru rendah fakta apa honorer kadang tuh gaji dibayarin 3 bulan sekali
zxfffrr,banding berapa berapa nih guru asn sama guru masih honorer nyata luar apa di pelosok guru masih underpaid banget gaji bawah juta tunjang bahkan gaji 13 semua guru sejahtera
kopigulaarenx,layak tau gaji itu rendah padahal orang sangat butuh nyokap guru swasta alhamdulillah gaji masuk juta jauh bawah umr kota apa lihat tweet guru bayar 500 ribu bahkan layak 200 an utama honorer
IamHelen22,sekarang cuma guru pelosok sama honorer gaji kecil justru biasa mereka lebih tulus effortnya lebih murid banyak guru sekarang cukup sejahtera mostly dmi gaji lebih fokus sertifikasi itu seminar ono ngajar ala kadar yang penting target aja
biazn_,sudah asn usaha bagai tunjang golong fakta guru swasta guru honorer gaji alakadarnya tau karenya nyokap punya banyak kenal guru masih honorer guru swasta bahkan gaji bulan ada 300 ribu
thesassyo,iya fakta nder lebih sakit anak guru susah beasiswa kira tua gaji perintah banyak asli cuma dikit apa yang honorer
agata_sefila,guru swasta gaji kecil sender emang si kecil honorer guru bener kerja serius gaji main
hcahnry,guru tidak cuma asn doang asn p3k kki honorer sekarang tidak lagi daftar asn sudah banyak banget cuma p3k kki honorer jelas beda sama asn gaji tunjang
GYULAXY0_0,hidup bagi dunia mana nderemang fakta kaya gitu luar masih banyak guru honorer gaji kecil guru di pelosok lebih banyak perlu harus hadap kamu liat cuman yang untung naik pns
ssoxhe,memang fakta gitu sender apa honorer dapet gaji lumayan sudah asn pppk itu susah jalan panjang asn guru gaji berapa banding bidang
temennyaocil,bener sih sender ibu dulu honorer juta gaji beliau beli butuh sekunder waktu dapet tunjang sekarang kayak lagi tunjang guru honorer cuma gaji pokok apa tunjang tetap ada tapi tidak semua
SalmaAinunfitr1,emang bener gaji guru rendah guru honorer kalau asn memang banyak kamu rumah mobil
riiiy_a,banding negara gaji guru indonesia memang rendah apa yang honorer apa yang honorer tk sd
AsmoroM22,keponakan ku guru honorer gaji 500 ribu bulan bensin motor hari 2 liter pp 24 ribu tiap bulan sumbang negara 220 ribu
arsadanim,gaji guru honorer woi asn mah beda
jen23_luv,sender mungkin asn guru punya mobil rumah kamu tau hidup asli gimana saja rumah mobil dari nabung hasil luar gaji tunjang asn lagi yang nama guru honorer yang gaji gantung mood kepala sosial
rantsaboutchu,karena sekitar memang beneran banyak guru guru gaji bulan ratus ribu itu kadang gaji tepat waktu guru honorer tuh banget sejahtera harus enggak gaji deh manusia ekonomi ini
rantsaboutchu,karena memang fakta coba jadi guru honorer dah berapa tuh gaji kamu lihat punya rumah mobil tuh cuma bagi kecil doang fakta banyak gaji guru memang underpaid
kalengkong_guan,tuju banget bagai guru honorer muda betul sulit guru guru honorer harus juang nafkah keluarga gaji bulan capai 1 juta apa guru honorer laki sudah keluarga bahkan gaji terkadang telat bayar 1 lain
